FID IID In_Regression PRS
082820Sm 5500040001 No 0.0131426333
082821Sm 5500008201 No 0.00676117778
082822Sm 6100046001 Yes 0.0271743667
082823Sm 8120008601 No 0.0723424444
082827Sm 1100605301 No 0.258920322
082828Sm 5500037701 No 0.0325653444
082833Sm 5500033101 Yes 0.0163517556
082834Sm 5500030901 No 0.0119702444
082835Sm 5500034601 No -0.0248406222
082836Sm 5500028901 No 0.0932963
082838Sm 8120001901 Yes -0.0167053889
082842Sm 5500033301 No 0.0300340889
082843Sm 5500033701 No 0.0558357222
082844Sm 5500030701 No 0.0462215
082847Sm 8120002001 No -0.0354724556
082851Sm 5500033201 No 0.00494908889
082852Sm 5500036501 No -0.0179724778
082853Sm 5500031901 No 0.0656749778
082856Sm 8120002101 No 0.107542133
082858Sm 5500041501 No 0.0219360556
082859Sm 5500029601 No -0.0181466556
082860Sm 5500033501 No -0.00941878889
082861Sm 5500036801 No 0.109655589
082862Sm 5500036101 No 0.000375088889
082864Sm 8120000401 Yes 0.00408225556
082865Sm 8120002201 No 0.0492217
082866Sm 6100046801 No 0.0825894333
082867Sm 6120209902 No 0.0478942111
082868Sm 5500029701 No 0.163571633
082869Sm 5500033601 No -0.0367854222
082870Sm 5500036401 No -0.0186841556
082871Sm 5500036201 Yes 0.0427242667
082873Sm 8120001301 Yes 0.0606917889
082874Sm 8120002301 No 0.0357108889
082875Sm 5500031501 No 0.0535501667
082877Sm 5500002302 No 0.0260103111
082878Sm 5500036001 No 0.00735233333
082879Sm 5500037001 No 0.0998995
082880Sm 5500037501 No 0.0657978444
082882Sm 8120001401 No 0.138219411
082883Sm 8120002401 Yes 0.0588204444
082885Sm 6120204202 No -0.0308118889
082886Sm 5500032601 No 0.0721806
082888Sm 5500037201 No 0.0142606111
082889Sm 5500038701 No -0.000318855556
082891Sm 8120001501 No 0.0910561556
082893Sm 8120002501 No 0.0546621444
082896Sm 5500032701 No 0.0474515889
082897Sm 5500034201 No 0.0674712889
082898Sm 5500026201 No 0.0268567444
082899Sm 5500020901 Yes 0.0909501
082901Sm 8120001601 No 0.194917667
082902Sm 8120003601 No 0.183323022
082903Sm 5500039701 No -0.00285775556
082904Sm 6120218302 No 0.0138851444
082905Sm 5500032901 No 0.0341617111
082906Sm 5500034301 No 0.00891864444
082907Sm 8120006201 No 0.0107676111
082908Sm 5500026301 No 0.182980778
082910Sm 8120001801 No 0.0631701444
082911Sm 8120003901 No 0.0418925667
082915Sm 8110011002 No 0.103283767
082916Sm 8110029401 No 0.0445215444
082917Sm 8110043901 No 0.0326047
082921Sm 8120006001 No 0.124933211
082923Sm 6100040502 No 0.0647168667
082925Sm 8110029901 No 0.0362537778
082930Sm 5500034501 No 0.0335458889
082933Sm 6100031602 No 0.0320582222
082934Sm 8110030101 No 0.101242422
082943Sm 8110030301 No 0.0395843333
082950Sm 5100276101 No 0.0539670889
082951Sm 8110016801 No -0.00923193333
082952Sm 8110031701 Yes 0.0657786778
082953Sm 8120000201 No 0.0822536
082954Sm 6100031902 No -0.0570302111
082958Sm 1100595602 No 0.114618256
082960Sm 8110023101 No 0.0293569444
082961Sm 8110033601 Yes -0.0276789333
082962Sm 8120000301 Yes 0.0632094778
082966Sm 8110026802 No 0.0479620333
082969Sm 8110026901 No 0.00284363333
082977Sm 5500003301 Yes -0.000216855556
082978Sm 8110027101 No -0.0244912444
082986Sm 6100031302 No -0.0147985222
082987Sm 8110029201 No 0.0534833444
082994Sm 5500011901 No 0.0807094778
082995Sm 6110017401 Yes -0.0143646222
082996Sm 8110028701 No 0.0351620778
082997Sm 6100030801 No 0.0170097333
082998Sm 5500047901 No 0.0334801444
083000Sm 8110043601 No 0.0520147
083003Sm 5500012301 No -0.0578403111
083006Sm 6100038401 No -0.0147087333
083009Sm 8120000501 Yes 0.133242933
083010Sm 1100422001 No 0.0159008
083011Sm 5500020801 Yes -0.0267418667
083012Sm 5500020001 No 0.0726665
083015Sm 6100038301 No 0.189953556
083016Sm 5500017901 No -0.0295486667
083019Sm 5500015901 No 0.0210150444
083022Sm 6110029201 No 0.0460776667
083023Sm 6100037101 Yes 0.0276618667
083031Sm 6110022701 No -0.00229637778
083032Sm 6100033901 Yes 0.0470583889
083033Sm 5500021701 No 0.0745397889
083036Sm 5500024102 No 0.0367266889
083037Sm 8120006902 No 0.0419775556
083040Sm 6110020801 Yes -0.0353859
083041Sm 6100037801 No -0.0114172111
083045Sm 5500041001 No -0.0178226667
083046Sm 8120007302 No -0.0167806111
083049Sm 6100038501 No 0.0566047889
083050Sm 6100038101 Yes 0.00865698889
083054Sm 5500021301 No -0.0229285778
083055Sm 5500040201 No 0.231732222
083056Sm 6120214501 Yes 0.0399893778
083058Sm 6100038201 Yes -0.00540227778
083059Sm 6100037201 Yes -0.0129168111
083063Sm 5500022001 No 0.100602578
083064Sm 5500040501 No 0.0136701889
083065Sm 6120211801 Yes -0.0141696556
083066Sm 6110026601 Yes 0.0315793889
083067Sm 6100037501 Yes 0.0522710333
083068Sm 5500044201 No -0.00236218889
083072Sm 5500020701 Yes 0.00299606667
083073Sm 5500039201 No 0.0821061778
083074Sm 5500041701 No 0.0491035222
083075Sm 6100041703 No 0.0141507222
083077Sm 5500014601 Yes 0.0169149111
083078Sm 5500012601 No 0.0214147778
083080Sm 8120010201 No 0.160845278
083081Sm 5500015101 No 0.0454755111
083082Sm 5500021501 No 0.0726041444
083083Sm 5500042901 No 0.0214264889
083084Sm 6110007503 No 0.0492334111
083087Sm 5500023401 No 0.0247405111
083089Sm 8120008301 No 0.0781098333
083090Sm 8120010601 No -0.0090216
